Dataset,Cities,Tour_Cost,Execution_Time,Tour_Order,Status
ulysses16.tsp,16,6859.0000,1.6142,1 8 4 2 3 16 10 9 11 5 15 6 7 12 13 14 1,COMPLETED
a280,280,-1.0000,1200.0001,TIMEOUT,TIMEOUT
