Dataset,Cities,Tour_Cost,Execution_Time
ulysses16.tsp,16,6859.0000,1.3373
a280,280,3761.4211,109.9329
xql662,662,3676.5859,288.4554
ulysses16.tsp,16,6859.0000,1.1964
a280,280,3678.5914,114.2350
xql662,662,3697.7174,292.1136
